Name,Country,Fuel Type,Basin,Power Capacity (MW),Latitude,Longtitude,Collection ID,L1,L2,L3,L4,L5,L6,L7,L8
Puxing Clean Energy Lantian power station,CN,gas,pacific,112,30.390084,120.126259,ef183ad2-5dd0-4276-96bc-94dac939abf8,120.129941,30.39326,120.122577,30.386908,120.122577,30.39326,120.129941,30.386908
Puxing Clean Energy Quzhou Gas Thermal power station,CN,gas,pacific,230,28.923375,118.769502,36fc313a-5abc-498c-b782-c946e352103a,118.773131,28.926551,118.765873,28.920199,118.765873,28.926551,118.773131,28.920199
Pyeongtaek power station ,KR,gas,pacific,1169,37.0045043,126.7931113,83da5ab7-50c8-47e4-97e4-3dd8b832a5c4,126.797089,37.00768,126.789134,37.001328,126.789134,37.00768,126.797089,37.001328
Pyeongtaek power station B,KR,gas,pacific,1169,37.0058,126.7984,ac0528ee-2ed8-4e0b-9417-835043bd40ea,126.802377,37.008976,126.794423,37.002624,126.794423,37.008976,126.802377,37.002624
Sakai Port power station,JP,gas,pacific,2000,34.57028,135.4419,5ecc0717-9004-44cc-916f-c1f00bea9a6a,135.445757,34.573456,135.438043,34.567104,135.438043,34.573456,135.445757,34.567104
Sakaide power station,JP,gas,pacific,935,34.341399,133.844863,cf355550-aab8-4b16-867e-8adc8e1438a4,133.84871,34.344575,133.841017,34.338223,133.841017,34.344575,133.84871,34.338223
Sejong (KOMIPO) power station,KR,gas,pacific,530,36.468637,127.2471373,1959e67f-3bbb-43f8-896a-fe70052c4505,127.251087,36.471813,127.243188,36.465461,127.243188,36.471813,127.251087,36.465461
Senboku Natural Gas power plant,JP,gas,pacific,1109,34.54175,135.4029,53b50919-608f-403b-9475-3491d70f0548,135.406756,34.544926,135.399044,34.538574,135.399044,34.544926,135.406756,34.538574
Sendai thermal power station,JP,gas,pacific,468,38.31717,141.0735,4bb091fe-f1ba-4d1c-a52e-72f4a3ef743a,141.077548,38.320346,141.069452,38.313994,141.069452,38.320346,141.077548,38.313994
Seoul power station,KR,gas,pacific,800,37.54424556,126.9198614,434690be-5fbf-44e3-88e3-5957d3ac4e40,126.923867,37.547422,126.915856,37.541069,126.915856,37.547422,126.923867,37.541069
Shanghai Caojing Gas Thermal power station,CN,gas,pacific,658,30.762899,121.406645,4feddbd2-901b-499b-b3e3-a10de11b996a,121.410341,30.766075,121.402949,30.759723,121.402949,30.766075,121.410341,30.759723
Shanghai Electric Power Luojing Gas power station,CN,gas,pacific,400,31.467468,121.383146,3698ad6d-9c82-4a2c-bd14-acd109a9bd33,121.38687,31.470644,121.379422,31.464292,121.379422,31.470644,121.38687,31.464292
Shanghai Electric Power Minhang Gas power station,CN,gas,pacific,1213,30.990975,121.377502,b402b4f8-f1fd-4962-85de-aaa7c4e1bcf1,121.381207,30.994151,121.373797,30.987799,121.373797,30.994151,121.381207,30.987799
Shanxi International Electricity Group Taiyuan Jiajie Gas Thermal power station,CN,gas,pacific,860,37.756969,112.545759,39ef6d1e-7c20-46ce-80a1-fe28218959f8,112.549776,37.760145,112.541742,37.753793,112.541742,37.760145,112.549776,37.753793
Shenergy Chongming Gas power station,CN,gas,pacific,848,31.588556,121.473926,01f56e0d-8952-4772-9324-9404993f3b48,121.477655,31.591732,121.470198,31.58538,121.470198,31.591732,121.477655,31.58538
Shenergy Shanghai Fengxian Gas Thermal power station,CN,gas,pacific,920,30.820439,121.436126,9517c672-b17d-40db-ba27-b34c90cc24ff,121.439824,30.823615,121.432428,30.817263,121.432428,30.823615,121.439824,30.817263
Shenergy Shanghai Lingang Gas power station,CN,gas,pacific,1600,30.850728,121.787516,9d2fe7c1-a79f-4c22-b660-dc73b1379165,121.791216,30.853904,121.783817,30.847552,121.783817,30.853904,121.791216,30.847552
Shenhua Guohua Beijing Gas Thermal power station,CN,gas,pacific,951,39.951257,116.619273,433f1fa1-a367-4854-8bd6-a58d3a735d63,116.623416,39.954433,116.61513,39.948081,116.61513,39.954433,116.623416,39.948081
Shennan Power Dongguan Gaobu Natural Gas power station,CN,gas,pacific,360,23.126695,113.755391,904e9db4-21e0-47b0-9d8a-75396a86f94b,113.758845,23.129871,113.751938,23.123519,113.751938,23.129871,113.758845,23.123519
Shennan Power Nanshan Thermal power station,CN,gas,pacific,540,22.513172,113.893053,2dddebf8-2c5f-4dec-96a6-bd376a75ca7a,113.896491,22.516348,113.889615,22.509996,113.889615,22.516348,113.896491,22.509996
Shenzhen Energy East power station,CN,gas,pacific,1170,22.575253,114.442407,8873edc6-a203-445b-b1c7-122cf4b406c3,114.445847,22.578429,114.438968,22.572077,114.438968,22.578429,114.445847,22.572077
Shenzhen Energy Fengda Gas Thermal power station,CN,gas,pacific,360,22.982217,114.488468,43e75e53-8e9f-4229-985d-4b57dcd6ab15,114.491918,22.985393,114.485018,22.979041,114.485018,22.985393,114.491918,22.979041
Shenzhen Energy Hongwan Gas power station,CN,gas,pacific,360,22.174941,113.472906,a5fce2d4-ad73-4b23-8622-ed208fc64565,113.476336,22.178117,113.469476,22.171765,113.469476,22.178117,113.476336,22.171765
Shenzhen Energy Zhangyang Gas power station,CN,gas,pacific,1140,22.887915,114.09395,3f696034-d306-4f29-bad1-8fc48e39fc13,114.097398,22.891091,114.090503,22.884739,114.090503,22.891091,114.097398,22.884739
Shenzhen Meishi Gas power station,CN,gas,pacific,684,22.54909,113.999293,196f40c2-a71e-4714-add7-91771a2acfe7,114.002732,22.552266,113.995854,22.545914,113.995854,22.552266,114.002732,22.545914
Shenzhen Yuhu Gas power station,CN,gas,pacific,360,22.716169,114.136159,247dc782-3400-49b7-8820-6f5a732a032d,114.139602,22.719345,114.132716,22.712993,114.132716,22.719345,114.139602,22.712993
Shin Kokura thermal power station,JP,gas,pacific,1800,33.909071,130.860984,a8cd86de-b296-4612-ab15-f59d8e56ef47,130.864811,33.912247,130.857157,33.905895,130.857157,33.912247,130.864811,33.905895
Shin Oita power station,JP,gas,pacific,2855,33.268258,131.705147,996eca1c-d36c-4f52-840b-15394a8a0799,131.708946,33.271434,131.701349,33.265082,131.701349,33.271434,131.708946,33.265082
Shin Sendai thermal power station,JP,gas,pacific,468,38.275998,141.039652,25bbe3de-1dc3-4870-9fce-944cb795c2df,141.043698,38.279174,141.035606,38.272822,141.035606,38.279174,141.043698,38.272822
Shin Minato power station,JP,gas,pacific,105,35.60729,140.0763,6133b463-0541-4d38-b48a-8594887a964f,140.080207,35.610466,140.072394,35.604114,140.072394,35.610466,140.080207,35.604114
Shin Nagoya thermal power station,JP,gas,pacific,3058,35.066962,136.87645,f797333e-b2f3-471c-b8d5-c7277526f0b9,136.880331,35.070138,136.87257,35.063786,136.87257,35.070138,136.880331,35.063786
Shinagawa thermal power station,JP,gas,pacific,380,35.62056,139.7564,5730cc95-22ef-4f6b-ac30-f5504c3823af,139.760307,35.623736,139.752493,35.617384,139.752493,35.623736,139.760307,35.617384
Shinincheon power station A,KR,gas,pacific,900,37.535702,126.602519,a75e35a0-4258-45ce-9753-887edf609708,126.606524,37.538878,126.598514,37.532526,126.598514,37.538878,126.606524,37.532526
Shinincheon power station B,KR,gas,pacific,900,37.535778,126.608549,775d5831-e7d0-4695-9c7c-513a6d52c7da,126.612554,37.538954,126.604544,37.532602,126.604544,37.538954,126.612554,37.532602
Sichuan Investment Group Dazhou Gas power station,CN,gas,pacific,700,31.114962,107.484887,6d443d97-ac1a-401e-8b5e-de3f2b6ebc66,107.488597,31.118138,107.481177,31.111786,107.481177,31.118138,107.488597,31.111786
Sodegaura thermal power station,JP,gas,pacific,3600,35.46257,139.9768,717a800f-1539-4cf6-973b-344e8e8f9480,139.9807,35.465746,139.972901,35.459394,139.972901,35.465746,139.9807,35.459394
Soma Port Gas power station,JP,gas,pacific,1180,37.8492,140.9529,95562472-f331-4b65-9221-69b905a56add,140.956922,37.852376,140.948878,37.846024,140.948878,37.852376,140.956922,37.846024
Southern Grid Hainan Qinglan Gas power station,CN,gas,pacific,150,19.568647,110.764405,d189a117-a4eb-47fd-b369-80569edfd91d,110.767776,19.571823,110.761034,19.565471,110.761034,19.571823,110.767776,19.565471
Southern Grid Hainan Wenchang Gas power station,CN,gas,pacific,920,19.788535,110.716477,c31c200c-b299-41b0-8975-0364c3ef5b7d,110.719852,19.791711,110.713102,19.785359,110.713102,19.791711,110.719852,19.785359
SPIC Changshu Thermal power station,CN,gas,pacific,200,31.598177,120.84341,8c184c68-51d4-4179-84b8-96d85cedbe7d,120.847139,31.601353,120.839681,31.595001,120.839681,31.601353,120.847139,31.595001
SPIC Hengqin Gas Thermal power station,CN,gas,pacific,780,22.127294,113.465923,fcb528c4-37f0-4bd0-bf76-50fc55413d5c,113.469352,22.13047,113.462495,22.124118,113.462495,22.13047,113.469352,22.124118
SPIC Jiangmen Gaoxin District Distributed Gas power station,CN,gas,pacific,260,22.537043,113.163246,d5676c68-2d78-456b-aff4-40d876bfa9ca,113.166685,22.540219,113.159807,22.533867,113.159807,22.540219,113.166685,22.533867
SPIC Jiedong Gas Thermal power station,CN,gas,pacific,200,23.615488,116.424782,166ea98f-f6b3-4c63-81a4-97cde66f1336,116.428248,23.618664,116.421316,23.612312,116.421316,23.618664,116.428248,23.612312
SPIC Lisha Island Gas power station,CN,gas,pacific,400,22.956527,113.575401,80c513e2-9f01-4150-9214-0165f7e73ff2,113.57885,22.959703,113.571952,22.953351,113.571952,22.959703,113.57885,22.953351
SPIC Sihui Gas Thermal power station,CN,gas,pacific,800,23.315626,112.785549,22ae7448-452e-4b1e-8703-7b3582d4cc50,112.789008,23.318802,112.782091,23.31245,112.782091,23.318802,112.789008,23.31245
SPIC Zhengzhou Gas power station,CN,gas,pacific,780,34.796774,113.5272,e9f03ab3-fb27-4ed5-85d6-77b3e0136a36,113.531068,34.79995,113.523333,34.793598,113.523333,34.79995,113.531068,34.793598
SPIC Zhoukou Gas power station,CN,gas,pacific,900,33.427935,114.937678,328fc728-7c7e-4af7-a1cc-c9582afddede,114.941484,33.431111,114.933873,33.424759,114.933873,33.431111,114.941484,33.424759
State Grid Lasa Gas power station,CN,gas,pacific,180,29.6516,90.95942,359c88eb-7a7b-478e-b50b-dbcd88a19533,90.963075,29.654776,90.955766,29.648424,90.955766,29.654776,90.963075,29.648424
T Point 2 power station,JP,gas,pacific,566,34.74624,134.7848,a94ef046-970a-4d39-a8b9-5a45199bee15,134.788665,34.749416,134.780935,34.743064,134.780935,34.749416,134.788665,34.743064
Tamashima power station,JP,gas,pacific,340,34.51647,133.6871,c1728308-1771-4aff-beff-f2f179ae9e81,133.690955,34.519646,133.683246,34.513294,133.683246,34.519646,133.690955,34.513294
Tobata power station,JP,gas,pacific,625,33.92675,130.8476,1487972f-ce91-4ed3-a931-44efeea67300,130.851428,33.929926,130.843772,33.923574,130.843772,33.929926,130.851428,33.923574
Tokyo Gas Bay power station,JP,gas,pacific,103,35.47064,139.9766,a0b5befa-444e-409d-8e5e-ffbeccec4b35,139.9805,35.473816,139.9727,35.467464,139.9727,35.473816,139.9805,35.467464
Tokyo Gas Yokosuka power station,JP,gas,pacific,240,35.311237,139.643911,a680e708-ef01-4518-8ecc-8edf724a9ce1,139.647803,35.314413,139.640019,35.308061,139.640019,35.314413,139.647803,35.308061
Toyama Shinko power station,JP,gas,pacific,425,36.7654,137.1286,65d0160b-b206-455d-bda7-ffce38cf0ff7,137.132565,36.768576,137.124636,36.762224,137.124636,36.768576,137.132565,36.762224
Ulsan power station A,KR,gas,pacific,974,35.475513,129.382396,3fefee5f-fe92-4529-8101-073812953852,129.386296,35.478689,129.378496,35.472337,129.378496,35.478689,129.386296,35.472337
Ulsan power station B,KR,gas,pacific,974,35.473163,129.37981,6f5c27d6-0ffd-473e-9385-97dd7041e43b,129.38371,35.476339,129.37591,35.469987,129.37591,35.476339,129.38371,35.469987
Wirye CHP power station ,KR,gas,pacific,450,37.48141,127.15146,08439fae-1133-4623-b6b8-e96bfcd096e4,127.155462,37.484586,127.147458,37.478234,127.147458,37.484586,127.155462,37.478234
Wuhan Donghu Gas Thermal power station,CN,gas,pacific,370,30.486157,114.421491,9557f61a-15ec-44a8-aea9-93afb2955261,114.425177,30.489333,114.417806,30.482981,114.417806,30.489333,114.425177,30.482981
Wuxi West Zone Gas Thermal power station,CN,gas,pacific,400,31.634457,120.232722,f9a79d0a-16be-47fe-8fb1-49e6b687bd58,120.236452,31.637633,120.228992,31.631281,120.228992,31.637633,120.236452,31.631281
Xiamen Dongbu Gas power station,CN,gas,pacific,780,24.54591,118.226434,17a6a427-23a1-4217-97b9-d3ebec523b94,118.229926,24.549086,118.222943,24.542734,118.222943,24.549086,118.229926,24.542734
Xiaoshan power station,CN,gas,pacific,1220,30.05,120.2323,3bdefee8-e7b6-49c7-8313-5e944918effc,120.235969,30.053176,120.228631,30.046824,120.228631,30.053176,120.235969,30.046824
Xinjiang Kelamayi power station,CN,gas,pacific,319,45.69143,85.118875,ce38bd6f-508f-49b9-8719-901620a00ae3,85.123422,45.694606,85.114328,45.688254,85.114328,45.694606,85.123422,45.688254
Xiyang Coalbed Methane power station,CN,gas,pacific,144,37.598774,113.725553,4d6d5760-8f18-417a-838d-dbe194a63cef,113.729562,37.60195,113.721545,37.595598,113.721545,37.60195,113.729562,37.595598
Yanai power station,JP,gas,pacific,1578,33.9536,132.1244,c3d067ff-bcae-4536-ac9c-db48c81afa5c,132.128229,33.956776,132.120571,33.950424,132.120571,33.956776,132.128229,33.950424
Yangju CHP power station ,KR,gas,pacific,524,37.834592,127.100541,ab7b04eb-e754-4866-92a6-8041866fe977,127.104563,37.837768,127.09652,37.831416,127.09652,37.837768,127.104563,37.831416
Yeoju Complex power station ,KR,gas,pacific,1000,37.36166,127.65916,9dd550c8-974e-4dce-b098-1330c5964307,127.663156,37.364836,127.655164,37.358484,127.655164,37.364836,127.663156,37.358484
Yeongnam power station ,KR,gas,pacific,476,35.5139879,129.38339,4f597d14-00c3-43df-adc7-1f4ec023d199,129.387292,35.517164,129.379488,35.510812,129.379488,35.517164,129.387292,35.510812
Yeongwol power station ,KR,gas,pacific,848,37.162939,128.492275,9c289bec-fdab-4556-b63e-80cb8e97f05b,128.496261,37.166115,128.48829,37.159763,128.48829,37.166115,128.496261,37.159763
Yixing Xielian power station,CN,gas,pacific,840,31.397538,119.827095,95c93992-ba56-4fbf-aa9d-336791717c6e,119.830816,31.400714,119.823374,31.394362,119.823374,31.400714,119.830816,31.394362
Yokkaichi thermal power station,JP,gas,pacific,585,34.97397,136.6459,333a90cd-e946-4f4d-ac75-3894c2baab26,136.649776,34.977146,136.642024,34.970794,136.642024,34.977146,136.649776,34.970794
Yokohama thermal power station,JP,gas,pacific,3541,35.47703,139.6779,3f19ae4c-d4b9-4f5b-8676-cee4fa5d6db5,139.6818,35.480206,139.674,35.473854,139.674,35.480206,139.6818,35.473854
Yoshinoura thermal power plant,JP,gas,pacific,502,26.2767,127.8132,fa9437b1-2f46-4401-a18a-308e232b6765,127.816742,26.279876,127.809658,26.273524,127.809658,26.279876,127.816742,26.273524
Yudean Huadu Gas Thermal power station,CN,gas,pacific,920,23.362915,113.093,a01bc0fd-8e4a-4d13-a9cc-2641b328433a,113.09646,23.366091,113.08954,23.359739,113.08954,23.366091,113.09646,23.359739
Yudean Huizhou Gas power station,CN,gas,pacific,2550,22.759327,114.613691,0a6066b8-dc8d-4541-9a53-5b3734030254,114.617135,22.762503,114.610247,22.756151,114.610247,22.762503,114.617135,22.756151
Yudean Shenzhen Qianwan Gas power station,CN,gas,pacific,1170,22.50785,113.849683,644a884e-aa8a-4b91-8262-e4c0705462fb,113.853121,22.511026,113.846245,22.504674,113.846245,22.511026,113.853121,22.504674
Yudean Xinhui Gas power station,CN,gas,pacific,780,22.253854,113.066065,9a720cb3-a9f3-4789-b3e4-b545437cdfa8,113.069497,22.25703,113.062633,22.250678,113.062633,22.25703,113.069497,22.250678
Yudean Zhongshan Sanjiao Gas Thermal power station,CN,gas,pacific,1380,22.712865,113.440746,092693ec-fc78-4a0b-b07e-1fd63f9a223d,113.444189,22.716041,113.437303,22.709689,113.437303,22.716041,113.444189,22.709689
Yuehua Huangpu power station,CN,gas,pacific,846,23.078627,113.500547,cfbfdd6a-3600-4c74-afaf-a0b0ebf1a00a,113.503999,23.081803,113.497095,23.075451,113.497095,23.081803,113.503999,23.075451
Yulchon power station,KR,gas,pacific,1523,34.913,127.593,3a1f4e83-51cc-4981-b9f9-29e25c34ffa4,127.596873,34.916176,127.589127,34.909824,127.589127,34.916176,127.596873,34.909824
Zheneng Changshan Gas power station,CN,gas,pacific,458,28.925712,118.462985,9369fc5f-bac4-42f8-89f2-06937f17f820,118.466614,28.928888,118.459356,28.922536,118.459356,28.928888,118.466614,28.922536
Zheneng Changxing Natural Gas power station,CN,gas,pacific,870,30.979487,119.92028,f608522e-f4a0-4b6d-af21-e479da7e8831,119.923985,30.982663,119.916576,30.976311,119.916576,30.982663,119.923985,30.976311
Zheneng Jinhua Gas power station,CN,gas,pacific,186,29.069833,119.580378,0cc2b358-2486-4a48-a9df-af568dc808af,119.584012,29.073009,119.576744,29.066657,119.576744,29.073009,119.584012,29.066657
Zheneng Ningbo Zhenhai Power Center Natural Gas Thermal power station,CN,gas,pacific,700,30.022471,121.661074,a659f27d-3121-4f55-8045-6b88661d0393,121.664742,30.025647,121.657406,30.019295,121.657406,30.025647,121.664742,30.019295
Zheneng Wenzhou Longwan power station,CN,gas,pacific,342,27.968583,120.807422,b5340924-1df0-4425-ae2a-ab56a7ed2450,120.811018,27.971759,120.803826,27.965407,120.803826,27.971759,120.811018,27.965407
Zheneng Zhenhai Natural Gas power station,CN,gas,pacific,790,29.946169,121.688796,0d2ae196-9d09-47fe-a26f-f936e90e9267,121.692461,29.949345,121.685131,29.942993,121.685131,29.949345,121.692461,29.942993
Zheneng Zhenhai United power station,CN,gas,pacific,344,29.943895,121.684007,b96d9f6f-12fa-4d16-bfb2-452f2dd7947f,121.687672,29.947071,121.680342,29.940719,121.680342,29.947071,121.687672,29.940719
Zhongshan Nanlang Gas power station,CN,gas,pacific,360,22.55203,113.5694,83551ece-54e8-4f42-8888-3c751849bfb5,113.572839,22.555206,113.565961,22.548854,113.565961,22.555206,113.572839,22.548854
Zhongshan Yong'an Gas Thermal power station,CN,gas,pacific,180,22.665361,113.195853,5dc2fd8a-8d2e-43b5-a79b-ed8bf96182bc,113.199295,22.668537,113.192411,22.662185,113.192411,22.668537,113.199295,22.662185
